"ISO","year","total_deaths","conflict"
"AZE",2006,24,0
"AZE",2007,5,0
"AZE",2008,12,0
"AZE",2009,30,1
"AZE",2010,7,0
"AZE",2011,20,0
"AZE",2012,21,0
"AZE",2013,16,0
"AZE",2014,11,0
"AZE",2015,46,1
"AZE",2016,63,1
"AZE",2017,137,1
"AZE",2018,36,1
"AZE",2019,16,0
"BDI",2000,1009,1
"BDI",2001,2071,1
"BDI",2002,1253,1
"BDI",2003,1576,1
"BDI",2004,1245,1
"BDI",2005,679,1
"BDI",2006,378,1
"BDI",2007,185,1
"BDI",2008,79,1
"BDI",2009,220,1
"BDI",2010,0,0
"BDI",2011,0,0
"BDI",2012,1,0
"BDI",2013,9,0
"BDI",2014,9,0
"BDI",2015,70,1
"BDI",2016,260,1
"BDI",2017,81,1
"BDI",2018,43,1
"BDI",2019,113,1
"BEL",2000,0,0
"BEL",2001,0,0
"BEL",2002,0,0
"BEL",2003,0,0
"BEL",2004,0,0
"BEL",2005,0,0
"BEL",2006,0,0
"BEL",2007,0,0
"BEL",2008,0,0
"BEL",2009,0,0
"BEL",2010,0,0
"BEL",2011,0,0
"BEL",2012,0,0
"BEL",2013,0,0
"BEL",2014,0,0
"BEL",2015,0,0
"BEL",2016,0,0
"BEL",2017,34,1
"BEL",2018,0,0
"BEL",2019,4,0
"BEN",2000,0,0
"BEN",2001,0,0
"BEN",2002,0,0
"BEN",2003,0,0
"BEN",2004,0,0
"BEN",2005,0,0
"BEN",2006,0,0
"BEN",2007,0,0
"BEN",2008,0,0
"BEN",2009,0,0
"BEN",2010,0,0
"BEN",2011,0,0
"BEN",2012,0,0
"BEN",2013,0,0
"BEN",2014,0,0
"BEN",2015,0,0
"BEN",2016,0,0
"BEN",2017,0,0
"BEN",2018,0,0
"BEN",2019,0,0
"BFA",2000,0,0
"BFA",2001,0,0
"BFA",2002,0,0
"BFA",2003,0,0
"BFA",2004,0,0
"BFA",2005,0,0
"BFA",2006,0,0
"BFA",2007,0,0
"BFA",2008,0,0
"BFA",2009,0,0
"BFA",2010,0,0
"BFA",2011,0,0
"BFA",2012,0,0
"BFA",2013,0,0
"BFA",2014,0,0
"BFA",2015,0,0
"BFA",2016,0,0
"BFA",2017,26,1
"BFA",2018,54,1
"BFA",2019,195,1
"BGD",2000,14,0
"BGD",2001,105,1
"BGD",2002,62,1
"BGD",2003,6,0
"BGD",2004,8,0
"BGD",2005,51,1
"BGD",2006,80,1
"BGD",2007,96,1
"BGD",2008,18,0
"BGD",2009,13,0
"BGD",2010,10,0
"BGD",2011,5,0
"BGD",2012,0,0
"BGD",2013,2,0
"BGD",2014,54,1
"BGD",2015,2,0
"BGD",2016,10,0
"BGD",2017,73,1
"BGD",2018,48,1
"BGD",2019,28,1
"BGR",2000,0,0
"BGR",2001,0,0
"BGR",2002,0,0
"BGR",2003,0,0
"BGR",2004,0,0
"BGR",2005,0,0
"BGR",2006,0,0
"BGR",2007,0,0
"BGR",2008,0,0
"BGR",2009,0,0
"BGR",2010,0,0
"BGR",2011,0,0
"BGR",2012,0,0
"BGR",2013,0,0
"BGR",2014,0,0
"BGR",2015,0,0
"BGR",2016,0,0
"BGR",2017,0,0
"BGR",2018,0,0
"BGR",2019,0,0
"BHR",2000,0,0
"BHR",2001,0,0
"BHR",2002,0,0
"BHR",2003,0,0
"BHR",2004,0,0
"BHR",2005,0,0
"BHR",2006,0,0
"BHR",2007,0,0
"BHR",2008,0,0
"BHR",2009,0,0
"BHR",2010,0,0
"BHR",2011,0,0
"BHR",2012,26,1
"BHR",2013,0,0
"BHR",2014,0,0
"BHR",2015,0,0
"BHR",2016,0,0
"BHR",2017,0,0
"BHR",2018,0,0
"BHR",2019,0,0
"BHS",2000,0,0
"BHS",2001,0,0
"BHS",2002,0,0
"BHS",2003,0,0
"BHS",2004,0,0
"BHS",2005,0,0
"BHS",2006,0,0
"BHS",2007,0,0
"BHS",2008,0,0
"BHS",2009,0,0
"BHS",2010,0,0
"BHS",2011,0,0
"BHS",2012,0,0
"BHS",2013,0,0
"BHS",2014,0,0
"BHS",2015,0,0
"BHS",2016,0,0
"BHS",2017,0,0
"BHS",2018,0,0
"BHS",2019,0,0
"BIH",2000,0,0
"BIH",2001,0,0
"BIH",2002,0,0
"BIH",2003,0,0
"BIH",2004,0,0
"BIH",2005,0,0
"BIH",2006,0,0
"BIH",2007,0,0
"BIH",2008,0,0
"BIH",2009,0,0
"BIH",2010,0,0
"BIH",2011,0,0
"BIH",2012,0,0
"BIH",2013,0,0
"BIH",2014,0,0
"BIH",2015,0,0
"BIH",2016,0,0
"BIH",2017,0,0
"BIH",2018,0,0
"BIH",2019,0,0
"BLR",2000,0,0
"BLR",2001,0,0
"BLR",2002,0,0
"BLR",2003,0,0
"BLR",2004,0,0
"BLR",2005,0,0
"BLR",2006,0,0
"BLR",2007,0,0
"BLR",2008,0,0
"BLR",2009,0,0
"BLR",2010,0,0
"BLR",2011,0,0
"BLR",2012,0,0
"BLR",2013,0,0
"BLR",2014,0,0
"BLR",2015,0,0
"BLR",2016,0,0
"BLR",2017,0,0
"BLR",2018,0,0
"BLR",2019,0,0
"BLZ",2000,0,0
"BLZ",2001,0,0
"BLZ",2002,0,0
"BLZ",2003,0,0
"BLZ",2004,0,0
"BLZ",2005,0,0
"BLZ",2006,0,0
"BLZ",2007,0,0
"BLZ",2008,0,0
"BLZ",2009,0,0
"BLZ",2010,0,0
"BLZ",2011,0,0
"BLZ",2012,0,0
"BLZ",2013,0,0
"BLZ",2014,0,0
"BLZ",2015,0,0
"BLZ",2016,0,0
"BLZ",2017,0,0
"BLZ",2018,0,0
"BLZ",2019,0,0
"BOL",2000,0,0
"BOL",2001,50,1
"BOL",2002,0,0
"BOL",2003,0,0
"BOL",2004,0,0
"BOL",2005,0,0
"BOL",2006,0,0
"BOL",2007,0,0
"BOL",2008,0,0
"BOL",2009,0,0
"BOL",2010,0,0
"BOL",2011,0,0
"BOL",2012,0,0
"BOL",2013,0,0
"BOL",2014,0,0
"BOL",2015,0,0
"BOL",2016,0,0
"BOL",2017,0,0
"BOL",2018,0,0
"BOL",2019,0,0
"BRA",2000,62,1
"BRA",2001,46,1
"BRA",2002,74,1
"BRA",2003,61,1
"BRA",2004,43,1
"BRA",2005,86,1
"BRA",2006,54,1
"BRA",2007,22,0
"BRA",2008,40,1
"BRA",2009,20,0
"BRA",2010,40,1
"BRA",2011,4,0
"BRA",2012,34,1
"BRA",2013,270,1
"BRA",2014,4,0
"BRA",2015,1,0
"BRA",2016,18,0
"BRA",2017,34,1
"BRA",2018,2803,1
"BRA",2019,2380,1
"BRB",2000,0,0
"BRB",2001,0,0
"BRB",2002,0,0
"BRB",2003,0,0
"BRB",2004,0,0
"BRB",2005,0,0
"BRB",2006,0,0
"BRB",2007,0,0
"BRB",2008,0,0
"BRB",2009,0,0
"BRB",2010,0,0
"BRB",2011,0,0
"BRB",2012,0,0
"BRB",2013,0,0
"BRB",2014,0,0
"BRB",2015,0,0
"BRB",2016,0,0
"BRB",2017,0,0
"BRB",2018,0,0
"BRB",2019,0,0
"BRN",2000,0,0
"BRN",2001,0,0
"BRN",2002,0,0
"BRN",2003,0,0
"BRN",2004,0,0
"BRN",2005,0,0
"BRN",2006,0,0
"BRN",2007,0,0
"BRN",2008,0,0
"BRN",2009,0,0
"BRN",2010,0,0
"BRN",2011,0,0
"BRN",2012,0,0
"BRN",2013,0,0
"BRN",2014,0,0
"BRN",2015,0,0
"BRN",2016,0,0
"BRN",2017,0,0
"BRN",2018,0,0
"BRN",2019,0,0
"BTN",2000,0,0
"BTN",2001,0,0
"BTN",2002,0,0
"BTN",2003,0,0
"BTN",2004,0,0
"BTN",2005,0,0
"BTN",2006,0,0
"BTN",2007,0,0
"BTN",2008,0,0
"BTN",2009,0,0
"BTN",2010,0,0
"BTN",2011,0,0
"BTN",2012,0,0
"BTN",2013,0,0
"BTN",2014,0,0
"BTN",2015,0,0
"BTN",2016,0,0
"BTN",2017,0,0
"BTN",2018,0,0
"BTN",2019,0,0
"BWA",2000,0,0
"BWA",2001,0,0
"BWA",2002,0,0
"BWA",2003,0,0
"BWA",2004,0,0
"BWA",2005,0,0
"BWA",2006,0,0
"BWA",2007,0,0
"BWA",2008,0,0
"BWA",2009,0,0
"BWA",2010,0,0
"BWA",2011,0,0
"BWA",2012,0,0
"BWA",2013,0,0
"BWA",2014,0,0
"BWA",2015,0,0
"BWA",2016,0,0
"BWA",2017,0,0
"BWA",2018,0,0
"BWA",2019,0,0
"CAF",2000,5,0
"CAF",2001,6,0
"CAF",2002,216,1
"CAF",2003,152,1
"CAF",2004,19,0
"CAF",2005,23,0
"CAF",2006,8,0
"CAF",2007,190,1
"CAF",2008,143,1
"CAF",2009,8,0
"CAF",2010,244,1
"CAF",2011,148,1
"CAF",2012,195,1
"CAF",2013,132,1
"CAF",2014,3396,1
"CAF",2015,3494,1
"CAF",2016,743,1
"CAF",2017,688,1
"CAF",2018,1849,1
"CAF",2019,640,1
"CAN",2000,11,0
"CAN",2001,23,0
"CAN",2002,1,0
"CAN",2003,0,0
"CAN",2004,0,0
"CAN",2005,0,0
"CAN",2006,0,0
"CAN",2007,0,0
"CAN",2008,0,0
"CAN",2009,0,0
"CAN",2010,0,0
"CAN",2011,0,0
"CAN",2012,0,0
"CAN",2013,0,0
"CAN",2014,0,0
"CAN",2015,0,0
"CAN",2016,0,0
"CAN",2017,0,0
"CAN",2018,0,0
"CAN",2019,0,0
"CHE",2000,0,0
"CHE",2001,0,0
"CHE",2002,0,0
"CHE",2003,0,0
"CHE",2004,0,0
"CHE",2005,0,0
"CHE",2006,0,0
"CHE",2007,0,0
"CHE",2008,0,0
"CHE",2009,0,0
"CHE",2010,0,0
"CHE",2011,0,0
"CHE",2012,0,0
"CHE",2013,0,0
"CHE",2014,0,0
"CHE",2015,0,0
"CHE",2016,0,0
"CHE",2017,0,0
"CHE",2018,0,0
"CHE",2019,0,0
"CHL",2000,0,0
"CHL",2001,0,0
"CHL",2002,0,0
"CHL",2003,0,0
"CHL",2004,0,0
"CHL",2005,0,0
"CHL",2006,0,0
"CHL",2007,0,0
"CHL",2008,0,0
"CHL",2009,0,0
"CHL",2010,0,0
"CHL",2011,0,0
"CHL",2012,0,0
"CHL",2013,0,0
"CHL",2014,0,0
"CHL",2015,0,0
"CHL",2016,0,0
"CHL",2017,0,0
"CHL",2018,0,0
"CHL",2019,0,0
"CHN",2000,0,0
"CHN",2001,0,0
"CHN",2002,0,0
"CHN",2003,0,0
"CHN",2004,0,0
"CHN",2005,0,0
"CHN",2006,12,0
"CHN",2007,0,0
"CHN",2008,0,0
"CHN",2009,87,1
"CHN",2010,189,1
"CHN",2011,0,0
"CHN",2012,0,0
"CHN",2013,0,0
"CHN",2014,0,0
"CHN",2015,0,0
"CHN",2016,5,0
"CHN",2017,0,0
"CHN",2018,6,0
"CHN",2019,0,0
"CIV",2000,0,0
"CIV",2001,132,1
"CIV",2002,2,0
"CIV",2003,1028,1
"CIV",2004,492,1
"CIV",2005,304,1
"CIV",2006,153,1
"CIV",2007,11,0
"CIV",2008,3,0
"CIV",2009,4,0
"CIV",2010,1,0
"CIV",2011,80,1
"CIV",2012,1256,1
"CIV",2013,21,0
"CIV",2014,4,0
"CIV",2015,0,0
"CIV",2016,0,0
"CIV",2017,49,1
"CIV",2018,0,0
"CIV",2019,0,0
"CMR",2000,0,0
"CMR",2001,2,0
"CMR",2002,0,0
"CMR",2003,0,0
"CMR",2004,0,0
"CMR",2005,0,0
"CMR",2006,0,0
"CMR",2007,0,0
"CMR",2008,0,0
"CMR",2009,0,0
"CMR",2010,0,0
"CMR",2011,0,0
"CMR",2012,0,0
"CMR",2013,0,0
"CMR",2014,1,0
"CMR",2015,1047,1
"CMR",2016,1263,1
"CMR",2017,491,1
"CMR",2018,410,1
"CMR",2019,1007,1
"COD",2000,7541,1
"COD",2001,3052,1
"COD",2002,1391,1
"COD",2003,7931,1
"COD",2004,4328,1
"COD",2005,795,1
"COD",2006,314,1
"COD",2007,390,1
"COD",2008,879,1
"COD",2009,1740,1
"COD",2010,5069,1
"COD",2011,799,1
"COD",2012,511,1
"COD",2013,1842,1
"COD",2014,2196,1
"COD",2015,1622,1
"COD",2016,737,1
"COD",2017,2194,1
"COD",2018,6031,1
"COD",2019,3130,1
"COG",2000,948,1
"COG",2001,0,0
"COG",2002,3,0
"COG",2003,234,1
"COG",2004,33,1
"COG",2005,0,0
"COG",2006,15,0
"COG",2007,0,0
"COG",2008,2,0
"COG",2009,1,0
"COG",2010,0,0
"COG",2011,0,0
"COG",2012,1,0
"COG",2013,2,0
"COG",2014,0,0
"COG",2015,0,0
"COG",2016,0,0
"COG",2017,73,1
"COG",2018,20,0
"COG",2019,0,0
"COL",2000,2093,1
"COL",2001,4293,1
"COL",2002,4592,1
"COL",2003,4346,1
"COL",2004,1183,1
"COL",2005,1781,1
"COL",2006,1725,1
"COL",2007,588,1
"COL",2008,362,1
"COL",2009,252,1
"COL",2010,419,1
"COL",2011,442,1
"COL",2012,227,1
"COL",2013,227,1
"COL",2014,140,1
"COL",2015,156,1
"COL",2016,143,1
"COL",2017,38,1
"COL",2018,87,1
"COL",2019,245,1
"COM",2000,0,0
"COM",2001,0,0
"COM",2002,0,0
"COM",2003,0,0
"COM",2004,0,0
"COM",2005,0,0
"COM",2006,0,0
"COM",2007,0,0
"COM",2008,0,0
"COM",2009,0,0
"COM",2010,0,0
"COM",2011,0,0
"COM",2012,0,0
"COM",2013,0,0
"COM",2014,0,0
"COM",2015,0,0
"COM",2016,0,0
"COM",2017,0,0
"COM",2018,0,0
"COM",2019,0,0
"CPV",2000,0,0
"CPV",2001,0,0
"CPV",2002,0,0
"CPV",2003,0,0
"CPV",2004,0,0
"CPV",2005,0,0
"CPV",2006,0,0
"CPV",2007,0,0
"CPV",2008,0,0
"CPV",2009,0,0
"CPV",2010,0,0
"CPV",2011,0,0
"CPV",2012,0,0
"CPV",2013,0,0
"CPV",2014,0,0
"CPV",2015,0,0
"CPV",2016,0,0
"CPV",2017,0,0
"CPV",2018,0,0
"CPV",2019,0,0
"CRI",2000,0,0
"CRI",2001,0,0
"CRI",2002,0,0
"CRI",2003,0,0
"CRI",2004,0,0
"CRI",2005,0,0
"CRI",2006,0,0
"CRI",2007,0,0
"CRI",2008,0,0
"CRI",2009,0,0
"CRI",2010,0,0
"CRI",2011,0,0
"CRI",2012,0,0
"CRI",2013,0,0
"CRI",2014,0,0
"CRI",2015,0,0
"CRI",2016,0,0
"CRI",2017,0,0
"CRI",2018,0,0
"CRI",2019,0,0
"CUB",2000,0,0
"CUB",2001,0,0
"CUB",2002,0,0
"CUB",2003,0,0
"CUB",2004,0,0
"CUB",2005,0,0
"CUB",2006,0,0
"CUB",2007,0,0
"CUB",2008,0,0
"CUB",2009,0,0
"CUB",2010,0,0
"CUB",2011,0,0
"CUB",2012,0,0
"CUB",2013,0,0
"CUB",2014,0,0
"CUB",2015,0,0
"CUB",2016,0,0
"CUB",2017,0,0
"CUB",2018,0,0
"CUB",2019,0,0
"CYP",2000,0,0
"CYP",2001,0,0
"CYP",2002,0,0
"CYP",2003,0,0
"CYP",2004,0,0
"CYP",2005,0,0
"CYP",2006,0,0
"CYP",2007,0,0
"CYP",2008,0,0
"CYP",2009,0,0
"CYP",2010,0,0
"CYP",2011,0,0
"CYP",2012,0,0
"CYP",2013,0,0
"CYP",2014,0,0
"CYP",2015,0,0
"CYP",2016,0,0
"CYP",2017,0,0
"CYP",2018,0,0
"CYP",2019,0,0
"CZE",2000,0,0
"CZE",2001,0,0
"CZE",2002,0,0
"CZE",2003,0,0
"CZE",2004,0,0
"CZE",2005,0,0
"CZE",2006,0,0
"CZE",2007,0,0
"CZE",2008,0,0
"CZE",2009,0,0
"CZE",2010,0,0
"CZE",2011,0,0
"CZE",2012,0,0
"CZE",2013,0,0
"CZE",2014,0,0
"CZE",2015,0,0
"CZE",2016,0,0
"CZE",2017,0,0
"CZE",2018,0,0
"CZE",2019,0,0
"DEU",2000,0,0
"DEU",2001,0,0
"DEU",2002,0,0
"DEU",2003,0,0
"DEU",2004,0,0
"DEU",2005,0,0
"DEU",2006,0,0
"DEU",2007,0,0
"DEU",2008,0,0
"DEU",2009,0,0
"DEU",2010,0,0
"DEU",2011,0,0
"DEU",2012,0,0
"DEU",2013,0,0
"DEU",2014,0,0
"DEU",2015,0,0
"DEU",2016,0,0
"DEU",2017,12,0
"DEU",2018,0,0
"DEU",2019,0,0
"DJI",2000,25,1
"DJI",2001,0,0
"DJI",2002,0,0
"DJI",2003,0,0
"DJI",2004,0,0
"DJI",2005,0,0
"DJI",2006,0,0
"DJI",2007,0,0
"DJI",2008,0,0
"DJI",2009,35,1
"DJI",2010,0,0
"DJI",2011,0,0
"DJI",2012,0,0
"DJI",2013,0,0
"DJI",2014,0,0
"DJI",2015,1,0
"DJI",2016,0,0
"DJI",2017,0,0
"DJI",2018,0,0
"DJI",2019,6,0
"DMA",2000,0,0
"DMA",2001,0,0
"DMA",2002,0,0
"DMA",2003,0,0
"DMA",2004,0,0
"DMA",2005,0,0
"DMA",2006,0,0
"DMA",2007,0,0
"DMA",2008,0,0
"DMA",2009,0,0
"DMA",2010,0,0
"DMA",2011,0,0
"DMA",2012,0,0
"DMA",2013,0,0
"DMA",2014,0,0
"DMA",2015,0,0
"DMA",2016,0,0
"DMA",2017,0,0
"DMA",2018,0,0
"DMA",2019,0,0
"DNK",2000,0,0
"DNK",2001,0,0
"DNK",2002,0,0
"DNK",2003,0,0
"DNK",2004,0,0
"DNK",2005,0,0
"DNK",2006,0,0
"DNK",2007,0,0
"DNK",2008,0,0
"DNK",2009,0,0
"DNK",2010,0,0
"DNK",2011,0,0
"DNK",2012,0,0
"DNK",2013,0,0
"DNK",2014,0,0
"DNK",2015,0,0
"DNK",2016,0,0
"DNK",2017,0,0
"DNK",2018,0,0
"DNK",2019,0,0
"DOM",2000,0,0
"DOM",2001,0,0
"DOM",2002,0,0
"DOM",2003,0,0
"DOM",2004,0,0
"DOM",2005,0,0
"DOM",2006,0,0
"DOM",2007,0,0
"DOM",2008,0,0
"DOM",2009,0,0
"DOM",2010,0,0
"DOM",2011,0,0
"DOM",2012,0,0
"DOM",2013,0,0
"DOM",2014,0,0
"DOM",2015,0,0
"DOM",2016,0,0
"DOM",2017,0,0
"DOM",2018,0,0
"DOM",2019,0,0
"DZA",2000,1168,1
"DZA",2001,1193,1
"DZA",2002,674,1
"DZA",2003,1058,1
"DZA",2004,714,1
"DZA",2005,500,1
"DZA",2006,232,1
"DZA",2007,292,1
"DZA",2008,495,1
"DZA",2009,345,1
"DZA",2010,541,1
"DZA",2011,252,1
"DZA",2012,276,1
"DZA",2013,264,1
"DZA",2014,222,1
"DZA",2015,111,1
"DZA",2016,110,1
"DZA",2017,89,1
"DZA",2018,77,1
"DZA",2019,35,1
"ECU",2000,0,0
"ECU",2001,0,0
"ECU",2002,2,0
"ECU",2003,0,0
"ECU",2004,26,1
"ECU",2005,0,0
"ECU",2006,0,0
"ECU",2007,0,0
"ECU",2008,0,0
"ECU",2009,25,1
"ECU",2010,0,0
"ECU",2011,0,0
"ECU",2012,0,0
"ECU",2013,0,0
"ECU",2014,0,0
"ECU",2015,0,0
"ECU",2016,0,0
"ECU",2017,0,0
"ECU",2018,0,0
"ECU",2019,0,0
"EGY",2000,4,0
"EGY",2001,5,0
"EGY",2002,0,0
"EGY",2003,0,0
"EGY",2004,0,0
"EGY",2005,35,1
"EGY",2006,124,1
"EGY",2007,2,0
"EGY",2008,0,0
"EGY",2009,2,0
"EGY",2010,1,0
"EGY",2011,1,0
"EGY",2012,31,1
"EGY",2013,75,1
"EGY",2014,135,1
"EGY",2015,249,1
"EGY",2016,991,1
"EGY",2017,404,1
"EGY",2018,902,1
"EGY",2019,692,1
"ERI",2000,17203,1
"ERI",2001,1793,1
"ERI",2002,0,0
"ERI",2003,0,0
"ERI",2004,57,1
"ERI",2005,0,0
"ERI",2006,0,0
"ERI",2007,0,0
"ERI",2008,0,0
"ERI",2009,0,0
"ERI",2010,0,0
"ERI",2011,0,0
"ERI",2012,0,0
"ERI",2013,0,0
"ERI",2014,0,0
"ERI",2015,0,0
"ERI",2016,0,0
"ERI",2017,25,1
"ERI",2018,0,0
"ERI",2019,0,0
"ESP",2000,0,0
"ESP",2001,20,0
"ESP",2002,13,0
"ESP",2003,5,0
"ESP",2004,3,0
"ESP",2005,191,1
"ESP",2006,0,0
"ESP",2007,0,0
"ESP",2008,0,0
"ESP",2009,2,0
"ESP",2010,3,0
"ESP",2011,0,0
"ESP",2012,1,0
"ESP",2013,0,0
"ESP",2014,0,0
"ESP",2015,0,0
"ESP",2016,0,0
"ESP",2017,0,0
"ESP",2018,16,0
"ESP",2019,0,0
"EST",2000,0,0
"EST",2001,0,0
"EST",2002,0,0
"EST",2003,0,0
"EST",2004,0,0
"EST",2005,0,0
"EST",2006,0,0
"EST",2007,0,0
"EST",2008,0,0
"EST",2009,0,0
"EST",2010,0,0
"EST",2011,0,0
"EST",2012,0,0
"EST",2013,0,0
"EST",2014,0,0
"EST",2015,0,0
"EST",2016,0,0
"EST",2017,0,0
"EST",2018,0,0
"EST",2019,0,0
"ETH",2000,30786,1
"ETH",2001,48666,1
"ETH",2002,388,1
"ETH",2003,809,1
"ETH",2004,1093,1
"ETH",2005,475,1
"ETH",2006,290,1
"ETH",2007,430,1
"ETH",2008,500,1
"ETH",2009,311,1
"ETH",2010,590,1
"ETH",2011,152,1
"ETH",2012,66,1
"ETH",2013,385,1
"ETH",2014,88,1
"ETH",2015,39,1
"ETH",2016,307,1
"ETH",2017,529,1
"ETH",2018,475,1
"ETH",2019,687,1
"FIN",2000,0,0
"FIN",2001,0,0
"FIN",2002,0,0
"FIN",2003,0,0
"FIN",2004,0,0
"FIN",2005,0,0
"FIN",2006,0,0
"FIN",2007,0,0
"FIN",2008,0,0
"FIN",2009,0,0
"FIN",2010,0,0
"FIN",2011,0,0
"FIN",2012,0,0
"FIN",2013,0,0
"FIN",2014,0,0
"FIN",2015,0,0
"FIN",2016,0,0
"FIN",2017,0,0
"FIN",2018,0,0
"FIN",2019,0,0
"FJI",2000,0,0
"FJI",2001,0,0
"FJI",2002,0,0
"FJI",2003,0,0
"FJI",2004,0,0
"FJI",2005,0,0
"FJI",2006,0,0
"FJI",2007,0,0
"FJI",2008,0,0
"FJI",2009,0,0
"FJI",2010,0,0
"FJI",2011,0,0
"FJI",2012,0,0
"FJI",2013,0,0
"FJI",2014,0,0
"FJI",2015,0,0
"FJI",2016,0,0
"FJI",2017,0,0
"FJI",2018,0,0
"FJI",2019,0,0
"FRA",2000,0,0
"FRA",2001,0,0
"FRA",2002,0,0
"FRA",2003,0,0
"FRA",2004,0,0
"FRA",2005,0,0
